50 0.2700000
1550.0000 185.5750000
3050.0000 405.5550000
4550.0000 759.1600000
6050.0000 1299.4000000
7550.0000 2023.1500000
9050.0000 2888.2750000
10550.0000 3895.3900000
12050.0000 5041.9850000
13550.0000 6419.5400000
15050.0000 7817.2450000
16550.0000 9484.5700000
18050.0000 11190.2450000
19550.0000 13528.8900000
21050.0000 15233.1300000
22550.0000 17896.4750000
24050.0000 20459.9850000
25550.0000 22972.9950000
27050.0000 25952.0900000
28550.0000 28747.8000000
30050.0000 32063.8700000
31550.0000 35024.4000000
33050.0000 38526.1700000
34550.0000 40342.3400000
36050.0000 43836.7650000
37550.0000 47606.9600000
39050.0000 51399.5850000
40550.0000 55488.4350000
42050.0000 59560.8800000
43550.0000 63875.9450000
