1 0.0046333
250000 47.3635333
500000.0000 96.9962333
750000.0000 148.8678000
1000000.0000 197.5178000
1250000.0000 245.8217666
1500000.0000 290.0688666
1750000.0000 352.3098333
2000000.0000 403.4473000
2250000.0000 448.6962000
2500000.0000 499.0547333
2750000.0000 548.7322333
3000000.0000 608.5418000
3250000.0000 653.2065000
3500000.0000 693.8363333
3750000.0000 740.7384333
4000000.0000 796.6338333
4250000.0000 856.8643000
4500000.0000 901.9150333
4750000.0000 944.5671666
5000000.0000 990.2504666
5250000.0000 1041.5815666
5500000.0000 1086.0010000
5750000.0000 1163.3363333
6000000.0000 1203.7193333
6250000.0000 1261.0170000
6500000.0000 1304.8686666
6750000.0000 1357.8236666
7000000.0000 1383.3230000
7250000.0000 1441.8246666
7500000.0000 1464.7980000
7750000.0000 1532.0423333
8000000.0000 1559.9010000
8250000.0000 1667.7620000
8500000.0000 1715.8096666
8750000.0000 1768.1783333
9000000.0000 1816.8933333
9250000.0000 1835.4773333
9500000.0000 1876.8136666
9750000.0000 1922.4736666
