1 0.0078000
250000 130.4092666
500000.0000 261.6686000
750000.0000 413.3989666
1000000.0000 556.9989000
1250000.0000 692.7300333
1500000.0000 794.0189666
1750000.0000 967.6856333
2000000.0000 1100.9873333
2250000.0000 1266.8203333
2500000.0000 1428.2396666
2750000.0000 1645.1066666
3000000.0000 1820.3993333
3250000.0000 1995.0870000
3500000.0000 2157.7890000
3750000.0000 2289.4873333
4000000.0000 2491.1633333
4250000.0000 2622.4633333
4500000.0000 2779.7903333
4750000.0000 2860.5736666
5000000.0000 2895.9426666
5250000.0000 2934.2293333
5500000.0000 3303.9436666
5750000.0000 3662.6510000
6000000.0000 3754.8476666
6250000.0000 3805.5320000
6500000.0000 3942.2446666
6750000.0000 4127.4360000
7000000.0000 4362.7013333
7250000.0000 4500.4323333
7500000.0000 4570.1546666
7750000.0000 4744.1413333
8000000.0000 4881.4616666
8250000.0000 5026.1930000
8500000.0000 5358.3156666
8750000.0000 5411.3996666
9000000.0000 5605.6160000
9250000.0000 5954.4473333
9500000.0000 6019.2996666
9750000.0000 6161.2730000
