1 0.0016000
250 10.6722333
500.0000 42.3699000
750.0000 94.8557333
1000.0000 169.3655000
1250.0000 265.9296333
1500.0000 391.6273000
1750.0000 527.1997000
2000.0000 684.7349000
2250.0000 863.9786666
2500.0000 1073.8333333
2750.0000 1284.6893333
3000.0000 1546.6003333
3250.0000 1798.3633333
3500.0000 2090.0280000
3750.0000 2387.1123333
4000.0000 2708.3163333
4250.0000 3046.6113333
4500.0000 3417.0313333
4750.0000 3815.7510000
5000.0000 4209.8356666
5250.0000 4709.7316666
5500.0000 5077.5410000
5750.0000 5583.4100000
6000.0000 6139.9933333
6250.0000 6591.0890000
6500.0000 7433.4863333
6750.0000 7801.9723333
7000.0000 8362.6776666
7250.0000 8850.0993333
7500.0000 9337.3676666
7750.0000 10235.0086666
8000.0000 10573.5150000
8250.0000 10788.2956666
8500.0000 10594.9066666
8750.0000 11357.7266666
